case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,2-4-7-6,time_scaleST,per_student,-0.075675676,0.523710981,-0.081081081,0.442864043,37,0.357142857,0.206031501,0.261904762,0.196338363,7,-0.432818533,-0.342985843,0.432818533,0.342985843
CASE1_strict,2-4-7-6,time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.4,0,0.333333333,0,4,-0.8,-0.666666667,0.8,0.666666667
CASE1_strict,2-4-7-6,time_scaleST,median,0,0,0,0,4,0.2,0,0,0,4,-0.2,0,0.2,0
CASE1_strict,2-4-7-6,log_time_function,per_student,0.054054054,0.648738732,0.036036036,0.583989509,37,0.257142857,0.437058815,0.238095238,0.343385836,7,-0.203088803,-0.202059202,0.203088803,0.202059202
CASE1_strict,2-4-7-6,log_time_function,avg,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0,0,0
CASE1_strict,2-4-7-6,log_time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,log_time_output,per_student,0.424324324,0.57299847,0.355855856,0.534348923,37,0.657142857,0.292072119,0.571428571,0.279698574,7,-0.232818533,-0.215572716,0.232818533,0.215572716
CASE1_strict,2-4-7-6,log_time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,2-4-7-6,log_time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,2-4-7-6,log_time_syntaxBL,per_student,-0.1,0.601799104,-0.099099099,0.523414895,37,-0.471428571,0.3953815,-0.404761905,0.343385836,7,0.371428571,0.305662806,0.371428571,0.305662806
CASE1_strict,2-4-7-6,log_time_syntaxBL,avg,-0.4,0,-0.333333333,0,4,-1,0,-1,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,log_time_syntaxBL,median,-0.6,0.282842712,-0.5,0.319142369,4,-1,0,-1,0,4,0.4,0.5,0.4,0.5
CASE1_strict,2-4-7-6,log_time_scaleSM,per_student,0.008108108,0.560587712,0.013513514,0.483012286,37,0.085714286,0.527605295,0.071428571,0.416496564,7,-0.077606178,-0.057915058,0.077606178,0.057915058
CASE1_strict,2-4-7-6,log_time_scaleSM,avg,-0.2,0,0,0,4,0.4,0,0.333333333,0,4,-0.6,-0.333333333,0.6,0.333333333
CASE1_strict,2-4-7-6,log_time_scaleSM,median,0.2,0.43204938,0.166666667,0.319142369,4,0.6,0.2,0.5,0.166666667,4,-0.4,-0.333333333,0.4,0.333333333
CASE1_strict,2-4-7-6,log_time_scaleST,per_student,-0.075675676,0.523710981,-0.081081081,0.442864043,37,0.357142857,0.206031501,0.261904762,0.196338363,7,-0.432818533,-0.342985843,0.432818533,0.342985843
CASE1_strict,2-4-7-6,log_time_scaleST,avg,-0.4,0,-0.333333333,0,4,0.4,0,0.333333333,0,4,-0.8,-0.666666667,0.8,0.666666667
CASE1_strict,2-4-7-6,log_time_scaleST,median,0,0,0,0,4,0.2,0,0,0,4,-0.2,0,0.2,0
CASE1_strict,2-4-7-6,acc_function,per_student,6.00E-18,0.509901951,-0.018018018,0.427619614,37,-0.4,0.362530787,-0.333333333,0.29546842,7,0.4,0.315315315,0.4,0.315315315
CASE1_strict,2-4-7-6,acc_function,avg,0,0,0,0,4,-0.8,0,-0.666666667,0,4,0.8,0.666666667,0.8,0.666666667
CASE1_strict,2-4-7-6,acc_function,median,-0.2,0.43204938,-0.166666667,0.319142369,4,-0.7,0.1,-0.5,0.166666667,4,0.5,0.333333333,0.5,0.333333333
CASE1_strict,2-4-7-6,acc_output,per_student,0.27027027,0.336005844,0.225225225,0.28000487,37,0.285714286,0.25872529,0.238095238,0.215604408,7,-0.015444015,-0.012870013,0.015444015,0.012870013
CASE1_strict,2-4-7-6,acc_output,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,2-4-7-6,acc_output,median,0.4,0.282842712,0.333333333,0.23570226,4,0.6,0.282842712,0.5,0.319142369,4,-0.2,-0.166666667,0.2,0.166666667
CASE1_strict,2-4-7-6,acc_syntaxBL,per_student,-0.140540541,0.286129303,-0.117117117,0.238441086,37,-0.2,0.302371578,-0.166666667,0.251976315,7,0.059459459,0.04954955,0.059459459,0.04954955
CASE1_strict,2-4-7-6,acc_syntaxBL,avg,-0.4,0.282842712,-0.333333333,0.23570226,4,-0.6,0.2,-0.5,0.166666667,4,0.2,0.166666667,0.2,0.166666667
CASE1_strict,2-4-7-6,acc_syntaxBL,median,0,0,0,0,4,0,0,0,0,4,0,0,0,0
CASE1_strict,2-4-7-6,scaleSM,per_student,0.310810811,0.347799091,0.234234234,0.293726854,37,0.371428571,0.345229885,0.285714286,0.317658668,7,-0.060617761,-0.051480051,0.060617761,0.051480051
CASE1_strict,2-4-7-6,scaleSM,avg,0.3,0.1,0.166666667,0.166666667,4,0.4,0,0.333333333,0,4,-0.1,-0.166666667,0.1,0.166666667
CASE1_strict,2-4-7-6,scaleSM,median,0.3,0.1,0.166666667,0.166666667,4,0,0.316227766,0,0.23570226,4,0.3,0.166666667,0.3,0.166666667
CASE1_strict,2-4-7-6,scaleST,per_student,0.372972973,0.395685275,0.297297297,0.359627633,37,0.071428571,0.197948664,0.047619048,0.116642369,7,0.301544402,0.24967825,0.301544402,0.24967825
CASE1_strict,2-4-7-6,scaleST,avg,0.4,0,0.333333333,0,4,0.2,0,0,0,4,0.2,0.333333333,0.2,0.333333333
CASE1_strict,2-4-7-6,scaleST,median,0.6,0.282842712,0.5,0.319142369,4,0,0.316227766,0,0.23570226,4,0.6,0.5,0.6,0.5
CASE1_strict,2-5-7-6,readTime,per_student,0.205405405,0.527075535,0.153153153,0.47675451,37,0.371428571,0.517450579,0.333333333,0.43643578,7,-0.166023166,-0.18018018,0.166023166,0.18018018
CASE1_strict,2-5-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.4,0,0.333333333,0,4,0.4,0.333333333,0.4,0.333333333
